service_date,line,otp_numerator,otp_denominator,otp_score
2016-01-03,Framingham/Worcester Line,16.0,18.0,0.8888888888888888
2016-01-03,Franklin Line,14.0,14.0,1.0
2016-01-03,Green Line,5170.6909,6749.837399999999,0.7660467346961572
2016-01-03,Greenbush Line,16.0,16.0,1.0
2016-01-03,Haverhill Line,10.0,12.0,0.8333333333333334
2016-01-03,Kingston/Plymouth Line,16.0,16.0,1.0
2016-01-03,Lowell Line,16.0,16.0,1.0
2016-01-03,Lowell Line Shuttle,16.0,16.0,1.0
2016-01-03,Middleborough/Lakeville Line,16.0,16.0,1.0
2016-01-03,Newburyport/Rockport Line,24.0,26.0,0.9230769230769231
2016-01-03,Orange Line,45810.37,47338.94,0.9677100923679322
2016-01-03,Providence/Stoughton Line,12.0,14.0,0.8571428571428571
2016-01-03,Red Line,78738.12,88501.93,0.8896768691937
2016-01-03,Silver Line,5261.0,5997.0,0.8772719693179923
2016-01-03,Worcester Line Shuttle,32.0,36.0,0.8888888888888888
2016-01-04,Blue Line,18852.244,21609.467,0.8724067095222663
2016-01-04,Fairmount Line,37.0,40.0,0.925
2016-01-04,Fitchburg Line,33.0,35.0,0.9428571428571428
2016-01-04,Framingham/Worcester Line,46.0,48.0,0.9583333333333334
2016-01-04,Franklin Line,34.0,37.0,0.918918918918919
2016-01-04,Green Line,5115.4292000000005,7227.6158000000005,0.7077616383538262
2016-01-04,Greenbush Line,21.0,24.0,0.875
2016-01-04,Haverhill Line,43.0,47.0,0.9148936170212766
2016-01-04,Kingston/Plymouth Line,21.0,24.0,0.875
2016-01-04,Lowell Line,44.0,51.0,0.8627450980392157
2016-01-04,Lowell Line Shuttle,44.0,51.0,0.8627450980392157
2016-01-04,Middleborough/Lakeville Line,22.0,24.0,0.9166666666666666
2016-01-04,Needham Line,31.0,32.0,0.96875
2016-01-04,Newburyport/Rockport Line,61.0,61.0,1.0
2016-01-04,Orange Line,116360.91,129542.24,0.8982468575500933
2016-01-04,Providence/Stoughton Line,65.0,73.0,0.8904109589041096
