service_date,line,estimated_boardings,ObjectId
2020/08/21 04:00:00+00,Needham,751.5,476
2020/08/21 04:00:00+00,Fitchburg,644.5,477
2020/08/21 04:00:00+00,Greenbush,321,478
2020/08/21 04:00:00+00,Fairmount,466.5,479
2020/08/24 04:00:00+00,Providence/Stoughton,3178,480
2020/08/24 04:00:00+00,Newburyport/Rockport,1634,481
2020/08/24 04:00:00+00,Framingham/Worcester,1323,482
2020/08/24 04:00:00+00,Franklin/Foxboro,1290.5,483
2020/08/24 04:00:00+00,Middleborough/Lakeville,975.5,484
2020/08/24 04:00:00+00,Lowell,913,485
2020/08/24 04:00:00+00,Haverhill,685,486
2020/08/24 04:00:00+00,Kingston,732.5,487
2020/08/24 04:00:00+00,Needham,767.5,488
2020/08/24 04:00:00+00,Fitchburg,642,489
2020/08/24 04:00:00+00,Greenbush,321.5,490
2020/08/24 04:00:00+00,Fairmount,493.5,491
2020/08/25 04:00:00+00,Providence/Stoughton,2992.5,492
2020/08/25 04:00:00+00,Newburyport/Rockport,1588,493
2020/08/25 04:00:00+00,Framingham/Worcester,1260,494
2020/08/25 04:00:00+00,Franklin/Foxboro,1433.5,495
2020/08/25 04:00:00+00,Middleborough/Lakeville,901.5,496
2020/08/25 04:00:00+00,Lowell,848,497
2020/08/25 04:00:00+00,Haverhill,774,498
2020/08/25 04:00:00+00,Kingston,742,499
2020/08/25 04:00:00+00,Needham,797,500
2020/08/25 04:00:00+00,Fitchburg,665,501
2020/08/07 04:00:00+00,Lowell,805,502
